"","dataTime","stationName","so2Value","coValue","o3Value","no2Value","pm10Value"
"1","2022-02-11 15:00","행신동","-","-","-","-","-"
"2","2022-02-11 15:00","식사동","0.003","0.6","0.056","0.025","93"
"3","2022-02-11 15:00","백마로(마두역)","0.004","0.7","0.040","0.040","112"
"4","2022-02-11 15:00","신원동","0.004","0.4","0.051","0.019","75"
"5","2022-02-11 15:00","주엽동","0.004","0.7","0.051","0.032","96"
"6","2022-02-11 15:00","경안동","0.004","0.6","0.048","0.038","96"
"7","2022-02-11 15:00","오포읍","0.004","0.7","0.048","0.037","84"
"8","2022-02-11 15:00","곤지암","0.003","0.6","0.043","0.036","100"
"9","2022-02-11 15:00","김량장동","-","-","-","-","-"
"10","2022-02-11 15:00","수지","0.004","0.7","0.037","0.044","102"
"11","2022-02-11 15:00","기흥","0.003","0.6","0.036","0.038","100"
"12","2022-02-11 15:00","중부대로(구갈동)","0.004","0.8","-","0.049","103"
"13","2022-02-11 15:00","모현읍","0.003","0.6","0.045","0.031","92"
"14","2022-02-11 15:00","이동읍","0.004","0.6","0.039","0.035","106"
"15","2022-02-11 15:00","백암면","0.004","0.5","0.053","0.022","131"
"16","2022-02-11 15:00","설성면","0.003","0.5","0.059","0.016","94"
"17","2022-02-11 15:00","창전동","0.004","0.5","0.051","0.022","79"
"18","2022-02-11 15:00","장호원읍","0.004","0.4","0.067","0.014","112"
"19","2022-02-11 15:00","부발읍","0.004","0.6","0.046","0.028","96"
"20","","관인면","","","","",""
"21","2022-02-11 15:00","선단동","0.005","0.6","0.062","0.012","100"
"22","2022-02-11 15:00","일동면","0.005","0.5","0.070","0.008","76"
"23","2022-02-11 15:00","사우동","0.004","0.6","0.060","0.024","90"
"24","2022-02-11 15:00","고촌읍","0.004","0.4","0.058","0.019","79"
"25","2022-02-11 15:00","월곶면","0.004","0.5","0.058","0.011","87"
"26","2022-02-11 15:00","한강신도시","0.004","0.6","0.054","0.021","97"
"27","2022-02-11 15:00","한강로","0.002","0.7","0.003","0.039","-"
"28","2022-02-11 15:00","당동","-","-","-","-","-"
"29","2022-02-11 15:00","산본동","0.004","0.6","0.041","0.039","94"
"30","2022-02-11 15:00","오산동","0.005","0.5","0.054","0.020","99"
